// Fore each type of zone (Business, Countryside etc) we have a that controls the ped densities.
// There is a set of values for each time of the day in 2 hour increments (midnight, 2am, 4 am etc)
// There are 2 sets of values: Weekday & Weekend.
// #Peds is the maximum number of peds you can ever have.
// #Cars is the maximum number of cars you can ever have.

// 4 Values for Dealers Gang Cops Other. These are percentages and are used to take the
// number of Dealers, gang members etc down during certain times of the day.
// These numbers do not add up to anything. If they are all 100% you would get the full #Peds.

// A number of values for the different types of peds that are not Dealers, Gang members or cops.
// This is what is specified as 'Other' in the first 4 values.
// This number should add up to 100%. If it doesn't the game will scale it to 100% and print a warning.

////////////////////////////////////////////////////////////////////////////////////////
// BUSINESS
////////////////////////////////////////////////////////////////////////////////////////
// Weekday
//
// #Peds #Cars Dealers Gang Cops Other     Workers Business Clubbers Farmers BeachFolk Parkfolk Casual_Rich Casual_Average Casual_Poor Prozzies Crimimals Golfers Servants Aircrew Entertainers oot_fact Desertfolk Aircrew_runway
    6     10     100      100 100  100        0        0       15       0       0       0         0            0               35         35        15      0       0         0       0            0      0         0   // Midnight
    4     6     100      100 100  100        0        0       15       0       0       0         0            0               35         35        15      0       0         0       0            0      0         0  // 2am
    4    6     100      100 100  100        0        0       15       0       0       0         0            0               35         35        15      0       0         0       0            0      0         0 // 4am
    10    10     100      100 100  100        0       80       0        0       0       0         0            20              0          0         0       0       0         0       0            0      0         0 // 6am
   60    60     100      70  100  100        0       80       0        0       0       0         0            20              0          0         0       0       0         0       0            0      0         0 // 8am
   50    50     50       70  100  100        0       80       0        0       0       0         0            20              0          0         0       0       0         0       0            0      0         0 // 10am
   60    60     50       70  100  100        0       80       0        0       0       0         0            20              0          0         0       0       0         0       0            0      0         0 // noon
   50    50     50       70  100  100        0       60       0        0       0       0         0            20              0          0         0       0       0         0       0            0      0         0 // 2pm
   50    50     50       70  100  100        0       60       0        0       0       0         0            20              0          0         0       0       0         0       0            0      0         0 // 4pm
   60    60     50       70  100  100        0       80       0        0       0       0         0            20              0          0         0       0       0         0       0            0      0         0 // 6pm
   30    30     50       100 100  100        0       80       0        0       0       0         0            20              0          0         0       0       0         0       0            0      0         0 // 8pm
    20    20     100      100 100  100        0       0        15       0       0       0         0            0               35         35        15      0       0         0       0            0      0         0 // 10pm
////////////////////////////////////////////////////////////////////////////////////////
// Weekend
//
// #Peds #Cars Dealers Gang Cops Other     Workers Business Clubbers Farmers BeachFolk Parkfolk Casual_Rich Casual_Average Casual_Poor Prozzies Crimimals Golfers Servants Aircrew Entertainers oot_fact Desertfolk Aircrew_runway
    6     8     100     100  100  100        0       0        15       0       0       0        0            0                35       35       15       0       0         0       0            0      0           0          // Midnight
    4     6     100     100  100  100        0       0        15       0       0       0        0            0                35       35       15       0       0         0       0            0      0           0           // 2am
    4    6     100     100  100  100        0       0        15       0       0       0        0            0                35       35       15       0       0         0       0            0      0           0           // 4am
    10    10     100     100  100  100        0       80       0        0       0       0        0            20               0        0         0       0       0         0       0            0      0           0          // 6am
   40    40     100      70  100  100        0       80       0        0       0       0        0            20               0        0         0       0       0         0       0            0      0           0           // 8am
   40    40     100      70  100  100        0       80       0        0       0       0        0            20               0        0         0       0       0         0       0            0      0           0           // 10am
   40    40     100      70  100  100        0       80       0        0       0       0        0            20               0        0         0       0       0         0       0            0      0           0           // noon
   40    40     100      70  100  100        0       80       0        0       0       0        0            20               0        0         0       0       0         0       0            0      0           0           // 2pm
   40    40     100      70  100  100        0       80       0        0       0       0        0            20               0        0         0       0       0         0       0            0      0           0           // 4pm
   40    50     100      70  100  100        0       80       0        0       0       0        0            20               0        0         0       0       0         0       0            0      0           0           // 6pm
    20    30     50      100  100  100        0       80       0        0       0       0        0            20               0        0         0       0       0         0       0            0      0           0           // 8pm
    20    30     100     100  100  100        0        0       15       0       0       0        0            0                35       35       15       0       0         0       0            0      0           0           // 10pm

////////////////////////////////////////////////////////////////////////////////////////
// DESERT
////////////////////////////////////////////////////////////////////////////////////////
// Weekday
//
// #Peds #Cars Dealers Gang Cops Other     Workers Business Clubbers Farmers BeachFolk Parkfolk Casual_Rich Casual_Average Casual_Poor Prozzies Crimimals Golfers Servants Aircrew Entertainers oot_fact Desertfolk Aircrew_runway
   4     12       0       0  100  100        15      0        0        0       0         0        0            0               0           0         0       0       0         0       0             0     100          0          // Midnight
   4     12       0       0  100  100        15      0        0        0       0         0        0            0               0           0         0       0       0         0       0             0     100          0          // 2am
   4     12       0       0  100  100        15      0        0        0       0         0        0            0               0           0         0       0       0         0       0             0     100          0          // 4am
   4     12       0       0  100  100        15      0        0        0       0         0        0            0               0           0         0       0       0         0       0             0     100          0           // 6am
   12     12       0       0  100  100        15      0        0        0       0         0        0            0               0           0         0       0       0         0       0             0     100          0           // 8am
   12     12       0       0  100  100        15      0        0        0       0         0        0            0               0           0         0       0       0         0       0             0     100          0           // 10am
   12     12       0       0  100  100        15      0        0        0       0         0        0            0               0           0         0       0       0         0       0             0     100          0           // noon
   12     12       0       0  100  100        15      0        0        0       0         0        0            0               0           0         0       0       0         0       0             0     100          0           // 2pm
   12     12       0       0  100  100        15      0        0        0       0         0        0            0               0           0         0       0       0         0       0             0     100          0           // 4pm
   12     12       0       0  100  100        15      0        0        0       0         0        0            0               0           0         0       0       0         0       0             0     100          0           // 6pm
   8     12       0       0  100  100        15      0        0        0       0         0        0            0               0           0         0       0       0         0       0             0     100          0           // 8pm
   4     12       0       0  100  100        15      0        0        0       0         0        0            0               0           0         0       0       0         0       0             0     100          0          // 10pm
////////////////////////////////////////////////////////////////////////////////////////
// Weekend
//
// #Peds #Cars Dealers Gang Cops Other     Workers Business Clubbers Farmers BeachFolk Parkfolk Casual_Rich Casual_Average Casual_Poor Prozzies Crimimals Golfers Servants Aircrew Entertainers oot_fact Desertfolk Aircrew_runway
   4     12       0       0  100  100        0       0        0        0       0         0        0           0               0            0         0       0       0         0       0             0     100          0         // Midnight
   4     12       0       0  100  100        0       0        0        0       0         0        0           0               0            0         0       0       0         0       0             0     100          0         // 2am
   4     12       0       0  100  100        0       0        0        0       0         0        0           0               0            0         0       0       0         0       0             0     100          0         // 4am
   4     12       0       0  100  100        0       0        0        0       0         0        0           0               0            0         0       0       0         0       0             0     100          0          // 6am
   12     12       0       0  100  100        0       0        0        0       0         0        0           0               0            0         0       0       0         0       0             0     100          0          // 8am
   12     12       0       0  100  100        0       0        0        0       0         0        0           0               0            0         0       0       0         0       0             0     100          0          // 10am
   12     12       0       0  100  100        0       0        0        0       0         0        0           0               0            0         0       0       0         0       0             0     100          0          // noon
   12     12      0       0  100  100        0       0        0        0       0         0        0           0               0            0         0       0       0         0       0             0     100          0          // 2pm
   12     12       0       0  100  100        0       0        0        0       0         0        0           0               0            0         0       0       0         0       0             0     100          0          // 4pm
   12     12       0       0  100  100        0       0        0        0       0         0        0           0               0            0         0       0       0         0       0             0     100          0          // 6pm
